id,image_url,pin_url_guess,genre,tops_category,tops_color,bottoms_category,bottoms_color,coordinate_review,tops_categorize,bottoms_categorize
1,https://i.pinimg.com/736x/a6/5a/50/a65a50686f1c10f5c98f2bedd434bf1e.jpg,https://jp.pinterest.com/pin/6122149486851049/,korean,t_shirt,blue,trousers,black,白Tシャツと黒ストライプのワイドパンツを軸にした、シンプルで知的なカジュアル。黒で引き締まり、差し色の黄バッグが現代的で洗練された印象を作り出すコーデ。,Tシャツ 無地 フリー ホワイト,パンツ ストライプ ワイド ブラック
2,https://i.pinimg.com/736x/82/77/a9/8277a98095eda2e3b1435905296dd056.jpg,https://jp.pinterest.com/pin/341499584264021499/,casual,crop_top,black,trousers,black,黒Tのグラフィックとダークグリーンのワイドパンツの対比が映える、カジュアル×モードなバランスのコーデ。黒靴と小物で引き締まり、リラックス感ある全体。,Tシャツ グラフィック ワイド ブラック,パンツ 無地 ワイド ダークグリーン
3,https://i.pinimg.com/736x/52/33/63/523363348ca1f3d4fc5139e8041be082.jpg,https://jp.pinterest.com/pin/85920305384429883/,casual,crop_top,gray,trousers,black,グレーのグラフィックＴを緩くインして縦長シルエットを強調する大人カジュアル。黒のワイドパンツとシンプルな小物で落ち着きと遊び心を両立。,Tシャツ グラフィック オーバーサイズ グレー,パンツ 無地 ワイド ブラック
4,https://i.pinimg.com/736x/ef/5c/fa/ef5cfadb23b246687241c487a4e8c733.jpg,https://jp.pinterest.com/pin/281543723667835/,casual,t_shirt,white,pants,black,白のオーバーサイズTシャツとネイビーのワイドパンツを軸に、腰に巻いたカラフルなスカーフベルトが視覚的なアクセントとなる、リラックス感とこなれ感を両立したカジュアルコーデ。,トップス Tシャツ 無地 ややオーバーSize ホワイト,ボトムス パンツ 無地 ワイド ネイビー
5,https://i.pinimg.com/736x/4f/53/7b/4f537beb27e4c4dd76dc38c2270ee4e1.jpg,https://jp.pinterest.com/pin/985231164762332/,casual,shrug,black,unknown,unknown,全身を黒系で統一したリラックス感のモードカジュアル。オーバーサイズのTシャツと光沢感のあるワイドパンツが、落ち着いた大人の余裕と動きやすさを両立させる印象で、街中でも実用的なスタイルです。,Tシャツ グラフィック ワイド ブラック,パンツ 無地 ワイド ブラック
6,https://i.pinimg.com/736x/6a/43/da/6a43dad60c5a10d03ca8b343aefa1e80.jpg,https://jp.pinterest.com/pin/563018696933935/,casual,crop_top,black,cargo_pants,black,黒を基調にしたモード寄りのカジュアル。Tシャツのロゴプリントと重ねるアクセサリーがアクセントになり、カーゴパンツの機能美が都会的で力強い印象を作る。,Tシャツ プリント ワイド ブラック,カーゴパンツ 無地 タイト ブラック
7,https://i.pinimg.com/736x/f1/4a/99/f14a99899c89588a6cac83481d4f6769.jpg,https://jp.pinterest.com/pin/59954238838366038/,casual,t_shirt,cyan,harem_pants,black,白Tシャツと黒のワイドパンツを軸にした、落ち着きのあるカジュアルコーデ。オリーブ系キャップとベージュのスニーカーで程よくスポーティさを添えています。,Tシャツ 無地 ワイド ホワイト,パンツ 無地 ワイド ブラック
8,https://i.pinimg.com/736x/f9/22/9d/f9229d8e3eeba44ef51275293d9efc35.jpg,https://jp.pinterest.com/pin/2025-in-2025--13933080092336532/,casual,crop_top,gray,harem_pants,black,白のオーバーサイズTシャツと黒のボリュームパンツを組み合わせた、モノトーンの大人カジュアル。白スニーカーと控えめなアクセで抜け感と上品さを両立させている。,Tシャツ 無地 オーバーサイズ ホワイト,パンツ 無地 ワイド ブラック
9,https://i.pinimg.com/736x/07/b7/ec/07b7ec14a6607e90ce0f71733b67d970.jpg,https://jp.pinterest.com/pin/fashion-in-2025--281543723657553/,casual,long_sleeve_shirt,blue,harem_pants,gray,白を基調としたリラックス系スポーティカジュアル。Tシャツのオーバーサイズ感とワイドパンツのゆとり、青のスニーカーで爽やかさと動きやすさを演出。,Tシャツ 無地 ワイド ホワイト,パンツ 無地 ワイド ホワイト
10,https://i.pinimg.com/736x/aa/4b/c9/aa4bc966de510844eacb7c6426083d8a.jpg,https://jp.pinterest.com/pin/fashion-in-2025--4081455907056821/,casual,shirt,black,trousers,red,落ち着いたブラウンのワイドパンツと黒のプリントTシャツの組み合わせ。リラックス感がありつつ、黒小物で引き締まり大人っぽさも演出するカジュアルコーデ。,Tシャツ プリント ワイド ブラック,パンツ 無地 ワイド ブラウン
